ID,Blade_Length_m,Root_Chord_mm,Material,Applied_Load_Pa,Status,Max_Deformation_m,Max_Equiv_Stress_Pa
BL0.8_C150_AL_P500,0.8,150,Aluminium,500,Updated,0.0024376,4299500.0
BL0.8_C150_AL_P1000,0.8,150,Aluminium,1000,Updated,0.0048752,8599100.0
BL0.8_C150_AL_P1500,0.8,150,Aluminium,1500,Updated,0.0073129,12899000.0
BL0.8_C150_FBG_P500,0.8,150,Fiberglass,500,Updated,0.0067417,4304200.0
BL0.8_C150_FBG_P1000,0.8,150,Fiberglass,1000,Updated,0.013483,8608500.0
BL0.8_C150_FBG_P1500,0.8,150,Fiberglass,1500,Updated,0.020225,12913000.0
BL0.8_C150_CBF_P500,0.8,150,Carbon fiber,500,Updated,0.0014031,4301600.0
BL0.8_C150_CBF_P1000,0.8,150,Carbon fiber,1000,Updated,0.0028061,8603200.0
BL0.8_C150_CBF_P1500,0.8,150,Carbon fiber,1500,Updated,0.0042092,12905000.0
BL0.8_C200_AL_P500,0.8,200,Aluminium,500,Updated,0.0010748,2397700.0
BL0.8_C200_AL_P1000,0.8,200,Aluminium,1000,Updated,0.0021496,4795500.0
BL0.8_C200_AL_P1500,0.8,200,Aluminium,1500,Updated,0.0032244,7193200.0
BL0.8_C200_FBG_P500,0.8,200,Fiberglass,500,Updated,0.0029734,2401200.0
BL0.8_C200_FBG_P1000,0.8,200,Fiberglass,1000,Updated,0.0059467,4802400.0
BL0.8_C200_FBG_P1500,0.8,200,Fiberglass,1500,Updated,0.0089201,7203700.0
BL0.8_C200_CBF_P500,0.8,200,Carbon fiber,500,Updated,0.00061871,2399300.0
BL0.8_C200_CBF_P1000,0.8,200,Carbon fiber,1000,Updated,0.0012374,4798500.0
BL0.8_C200_CBF_P1500,0.8,200,Carbon fiber,1500,Updated,0.0018561,7197800.0
BL0.8_C300_AL_P500,0.8,300,Aluminium,500,Updated,0.00034312,1064300.0
BL0.8_C300_AL_P1000,0.8,300,Aluminium,1000,Updated,0.00068625,2128600.0
BL0.8_C300_AL_P1500,0.8,300,Aluminium,1500,Updated,0.0010294,3193000.0
BL0.8_C300_FBG_P500,0.8,300,Fiberglass,500,Updated,0.00095008,1069000.0
BL0.8_C300_FBG_P1000,0.8,300,Fiberglass,1000,Updated,0.0019002,2138100.0
BL0.8_C300_FBG_P1500,0.8,300,Fiberglass,1500,Updated,0.0028502,3207100.0
BL0.8_C300_CBF_P500,0.8,300,Carbon fiber,500,Updated,0.00019761,1066400.0
BL0.8_C300_CBF_P1000,0.8,300,Carbon fiber,1000,Updated,0.00039521,2132900.0
BL0.8_C300_CBF_P1500,0.8,300,Carbon fiber,1500,Updated,0.00059282,3199300.0
BL1.2_C150_AL_P500,1.2,150,Aluminium,500,Updated,0.012125,9709300.0
BL1.2_C150_AL_P1000,1.2,150,Aluminium,1000,Updated,0.024251,19419000.0
